09-14 20:34:45.646 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -67 -66 -64 -63 -59 -57 -61 -60 -52 -68 -78 -67 -60 -54 -57 -63 -53 -67 -69 -68 -72 -74 -76 -80 -79 -71 -73 -78 -77 -75 -73 -73 
09-14 20:34:45.651 21801  4840 I wDSP_SpectrumEngine: POWER32 -96 -95 -91 -87 -81 -76 -81 -80 -65 -76 -83 -67 -59 -54 -57 -68 -48 -61 -73 -69 -71 -72 -74 -72 -76 -66 -70 -77 -78 -76 -76 -80 
09-14 20:34:45.651 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:45.651 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:45.652 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13982 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:46.647 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -68 -67 -59 -58 -60 -57 -63 -64 -55 -63 -82 -69 -61 -53 -57 -100 -49 -68 -67 -68 -73 -74 -77 -81 -78 -71 -73 -79 -78 -75 -72 -73 
09-14 20:34:46.653 21801  4840 I wDSP_SpectrumEngine: POWER32 -100 -99 -87 -91 -87 -80 -80 -84 -66 -71 -85 -68 -60 -54 -56 -71 -47 -62 -66 -69 -72 -71 -71 -74 -74 -64 -69 -80 -79 -76 -76 -80 
09-14 20:34:46.653 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:46.653 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:46.653 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=14076 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:47.649 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -57 -56 -53 -54 -54 -55 -60 -61 -53 -68 -80 -79 -66 -54 -56 -76 -56 -61 -68 -68 -71 -73 -76 -85 -77 -72 -71 -77 -78 -80 -71 -73 
09-14 20:34:47.654 21801  4840 I wDSP_SpectrumEngine: POWER32 -85 -84 -79 -86 -75 -76 -79 -76 -64 -77 -83 -75 -62 -53 -58 -69 -48 -58 -72 -66 -69 -71 -72 -78 -72 -65 -69 -79 -78 -79 -75 -80 
09-14 20:34:47.654 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:47.654 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:47.654 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=14170 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
