09-14 20:32:44.702 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:44.702 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=2642 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:45.710 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -62 -61 -62 -56 -45 -46 -37 -32 -37 -39 -53 -39 -34 -25 -26 -30 -33 -30 -32 -30 -32 -33 -35 -37 -33 -33 -32 -30 -29 -27 -25 -27 
09-14 20:32:45.715 21801  4840 I wDSP_SpectrumEngine: POWER32 -100 -99 -89 -78 -69 -64 -65 -47 -53 -48 -60 -39 -33 -27 -27 -32 -35 -31 -30 -31 -33 -35 -34 -34 -33 -33 -35 -35 -32 -34 -34 -39 
09-14 20:32:45.715 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:45.715 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:45.715 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=2740 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:46.723 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -62 -61 -60 -60 -46 -43 -38 -31 -34 -37 -53 -41 -34 -27 -27 -32 -33 -31 -31 -31 -32 -31 -35 -37 -34 -33 -32 -30 -29 -27 -25 -27 
09-14 20:32:46.728 21801  4840 I wDSP_SpectrumEngine: POWER32 -105 -104 -97 -90 -71 -64 -56 -47 -49 -47 -61 -42 -37 -27 -28 -33 -35 -31 -37 -32 -31 -31 -33 -32 -31 -32 -34 -34 -35 -34 -34 -37 
09-14 20:32:46.728 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:46.728 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:46.728 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=2834 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:47.737 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -66 -65 -58 -59 -44 -44 -39 -32 -36 -37 -51 -42 -33 -25 -26 -31 -33 -30 -31 -30 -32 -31 -35 -37 -34 -33 -31 -31 -29 -27 -25 -27 
